駅名,住所,URL
南えちぜん山海里 [ Minamiechizen Sankairi],南条郡南越前町牧谷第39-2-2,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/fukui/minamiechizensankairi.html
越前おおの荒島の郷 [ Echizen Ono Arashima no Sato],大野市蕨生第137号21番地1,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/fukui/echizenonoarashimanosato.html
恐竜渓谷かつやま[ Kyouryukeikoku Katsuyama ],勝山市荒土町松ヶ崎第１号１７番地,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/fukui/kyouryukeikokukatsuyama.html
禅の里 [ Zennosato ],吉田郡永平寺町清水第2号21番1,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/fukui/zennosato.html
一乗谷あさくら水の駅 [ Itijyoudaniasakuramizunoeki ],福井市安波賀中島町1-1-1,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/fukui/ichijoudaniasakura.html
三方五湖 [ Mikatagoko ],三方上中郡若狭町鳥浜122－31－1,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/fukui/mikatagoko.html
越前 [ Echizen ],丹生郡越前町厨第71号335番地1,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/fukui/echizen.html
西山公園 [ Nishiyama Park ],鯖江市桜町３丁目950番,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/fukui/nisiyamakouen.html
うみんぴあ大飯 [ Ohi ],大飯郡おおい町成海1-1-2,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/fukui/uminpiaooi.html
若狭おばま [ Wakasa Obama ],小浜市和久里24-45-2,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/fukui/wakasaobama.html
シーサイド高浜 [ Takahama ],大飯郡高浜町下車持46-10,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/fukui/seasidetakahama.html
さかい [ Sakai ],坂井市坂井町蔵垣内34-14-1,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/fukui/sakai.html
若狭熊川宿 [ Wakasa Kumakawajuku ],三方上中郡若狭町熊川11-1-1,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/fukui/wakasakumakawasyuku.html
みくに [ Mikuni ],坂井市三国町山岸67-3-1,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/fukui/mikuni.html
名田庄 [Natasho],大飯郡おおい町名田庄納田終109号4番地の1,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/fukui/natasyou.html
パークイン丹生ヶ丘 [ Park In Nyugaoka ],丹生郡越前町上川去45-1-7,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/fukui/parkinnyugaoka.html
九頭竜 [ Kuzuryu ],大野市朝日26-30-1,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/fukui/kuzuryu.html
河野 [ Kouno ],南条郡南越前町大谷,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/fukui/kouno.html
浅井三姉妹の郷 [ azaisansimainosato ],長浜市内保町2843,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/shiga/azaisansimai.html
アグリパーク竜王 [ Aguri Park Ryuo ],蒲生郡竜王町山之上6526番地,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/shiga/aguriparkryuou.html
奥永源寺 渓流の里 [ Okueigenji Keiryunosato ],東近江市蓼畑町510番地,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/shiga/okueigenji.html
